capital,prefecture,area
札幌,北海道,東北
青森,青森県,東北
盛岡,岩手県,東北
仙台,宮城県,東北
秋田,秋田県,東北
山形,山形県,東北
福島,福島県,東北
水戸,茨城県,関東
宇都宮,栃木県,関東
前橋,群馬県,関東
